name,city,country,status.started,status.completed,height,floors,material,function,student
Water Tower Place,Chicago,US,1972,1976,261.8800049,74,concrete,3,
Aqua,Chicago,US,2007,2009,261.75,86,concrete,2,
Aon Center,Los Angeles,US,0,1974,261.519989,62,steel,1,
Transamerica Pyramid,San Francisco,US,1969,1972,260,48,composite,1,
Comcast Building,New York City,US,1931,1933,259.0799866,70,steel,1,
Chase Tower,Chicago,US,1966,1969,259.0799866,60,steel,1,
Two Liberty Place,Philadelphia,US,0,1990,258.4700012,58,steel,2,
Park Tower,Chicago,US,1998,2000,257.3500061,68,concrete,2,
Devon Energy Center,Oklahoma City,US,2009,2012,257.230011,52,concrete,1,
Banco Santander Tower,Miami,US,0,0,257,52,concrete,1,
One Bennett Park,Chicago,US,2016,2018,256.9500122,67,concrete,1,
U.S. Steel Tower,Pittsburgh,US,1967,1970,256.3399963,64,steel,1,
One Manhattan Square,New York City,US,2015,2019,253.3000031,68,concrete,1,
Met 3,Miami,US,0,0,252.3800049,76,concrete,1,
Panorama Tower,Miami,US,2014,2017,250.5500031,80,concrete,2,
56 Leonard Street,New York City,US,2008,2016,250.2400055,57,concrete,1,
One Atlantic Center,Atlanta,US,0,1987,249.9400024,50,composite,1,
The Legacy at Millennium Park,Chicago,US,2007,2010,249.3300018,73,concrete,1,
CitySpire,New York City,US,0,1987,248.1100006,75,concrete,2,
28 Liberty,New York City,US,1957,1961,247.8099976,60,steel,2,
4 Times Square,New York City,US,1996,1999,246.5399933,48,steel,1,
MetLife Building,New York City,US,1960,1963,246.2799988,59,steel,1,
Bloomberg Tower,New York City,US,2000,2004,245.6199951,54,concrete/steel,2,
181 Fremont,San Francisco,US,2014,2017,244.4499969,54,steel,2,
Mellon Bank Center,Philadelphia,US,0,1990,241.4100037,54,composite,1,
Woolworth Building,New York City,US,1910,1913,241.3999939,57,steel,1,
IDS Tower,Minneapolis,US,1969,1973,241.3800049,55,composite,1,
Grant Park Tower III,Chicago,US,0,0,241,73,concrete,1,
200 Clarendon,Boston,US,1972,1976,240.7899933,62,steel,1,
Four Seasons Hotel & Tower,Miami,US,2000,2003,240.4100037,64,concrete,3,
Comerica Bank Tower,Dallas,US,0,1987,239.8800049,60,composite,1,
Duke Energy Center,Charlotte,US,2007,2010,239.6999969,48,concrete/steel,1,
300 North LaSalle,Chicago,US,2006,2009,239.1199951,60,composite,1,
30 Hudson Street,Jersey City,US,2001,2004,238.0500031,42,steel,1,
520 Park Avenue,New York City,US,2015,2018,237.9199982,54,concrete,1,
Bank of America Center,Houston,US,1981,1983,237.75,56,steel,1,
555 California Street,San Francisco,US,0,1969,237.4400024,52,steel,1,
1 Worldwide Plaza,New York City,US,1986,1989,237.1399994,47,steel,1,
50 West,New York City,US,2008,2017,237.0599976,64,concrete,1,
Capella Tower,Minneapolis,US,1989,1992,236.5299988,56,composite,1,
Wells Fargo Center,Minneapolis,US,0,1988,236.3200073,56,composite,1,
1201 Third Avenue Tower,Seattle,US,1986,1988,235.3099976,55,steel,1,
191 Peachtree Tower,Atlanta,US,0,1992,234.6999969,50,composite,1,
Three First National Plaza,Chicago,US,0,1981,233.6499939,57,composite,1,
Southeast Financial Center,Miami,US,1982,1983,232.8000031,55,composite,1,
Heritage Plaza,Houston,US,1984,1987,232.2599945,53,steel,1,
Carnegie Hall Tower,New York City,US,1988,1991,230.7400055,60,concrete,1,
609 Main at Texas,Houston,US,2014,2017,230.6600037,49,steel/concrete,2,
Chicago Title & Trust Center,Chicago,US,1990,1992,230.4799957,50,composite,1,
Enterprise Plaza,Houston,US,0,1980,230.3999939,55,composite,1,
383 Madison Avenue,New York City,US,1999,2001,230.25,47,steel,1,
Courtyard & Residence Inn Manhattan/Central Park,New York City,US,2011,2013,229.6199951,67,concrete,1,
AXA Center,New York City,US,0,1985,229.2100067,51,steel,1,
130 North Franklin,Chicago,US,2016,2019,229.0599976,53,steel,1,
Brickell Flatiron Building,Miami,US,2016,0,228.6000061,64,concrete,1,
One Penn Plaza,New York City,US,0,1972,228.6000061,57,steel,1,
1251 Avenue of the Americas,New York City,US,1967,1972,228.6000061,54,steel,1,
Prudential Tower,Boston,US,0,1964,228.6000061,52,steel,1,
Two California Plaza,Los Angeles,US,0,1992,228.6000061,52,steel,1,
Time Warner Center North Tower,New York City,US,2000,2004,228.3200073,55,concrete/steel,3,
Time Warner Center South Tower,New York City,US,2000,2004,228.3200073,55,concrete/steel,2,
Gas Company Tower,Los Angeles,US,1988,1991,228.3000031,52,steel,1,
Goldman Sachs Headquarters,New York City,US,2005,2010,228.3000031,44,steel,1,
60 Wall Street,New York City,US,1988,1989,227.0800018,55,steel,1,
One Astor Plaza,New York City,US,1968,1972,227.0800018,54,composite,1,
RSA Battle House Tower,Mobile,US,2003,2007,227.0800018,35,steel/concrete,1,
Blue Cross-Blue Shield Tower,Chicago,US,2007,2010,226.7200012,54,composite,1,
7 World Trade Center,New York City,US,2002,2006,226.5,49,steel/concrete,1,
One Liberty Plaza,New York City,US,0,1972,226.4700012,54,steel,1,
Twenty Exchange,New York City,US,1929,1931,225.8600006,57,steel,1,
Centerpoint Energy Plaza,Houston,US,0,1996,225.8600006,53,steel,1,
Two Union Square,Seattle,US,1987,1989,225.5599976,56,composite,1,
Three Logan,Philadelphia,US,0,1991,225.25,55,steel,1,
Three World Financial Center,New York City,US,1985,1986,225.1999969,51,steel,1,
Paramount Miami Worldcenter,Miami,US,2016,2018,224.8999939,60,concrete,1,
Infinity II,Miami,US,0,0,224.3399963,65,concrete,2,
Bank of America Plaza,Los Angeles,US,0,1975,224.0299988,55,steel,1,
Fontainebleau Resort Hotel,Las Vegas,US,2007,0,224,63,concrete,1,
1600 Smith Street,Houston,US,0,1984,223.1199951,55,steel,1,
River Point,Chicago,US,2013,2017,223,52,composite,1,
Olympia Centre,Chicago,US,1981,1986,222.8999939,63,concrete,2,
FMC Tower at Cira Centre South,Philadelphia,US,2014,2017,222.5,49,composite,2,
Detroit Marriott at the Renaissance Center,Detroit,US,1973,1977,221.4900055,70,concrete,1,
One Museum Park,Chicago,US,2005,2009,221.3399963,62,concrete,1,
Times Square Tower,New York City,US,2001,2004,221.2899933,47,steel,1,
One Mellon Center,Pittsburgh,US,0,1983,221,54,steel,1,
777 Tower,Los Angeles,US,1988,1991,221,53,steel,1,
Fulbright Tower,Houston,US,0,1982,221,52,composite,1,
Westin Peachtree Plaza,Atlanta,US,0,1976,220.3699951,73,concrete,1,
Wells Fargo Tower,Los Angeles,US,1982,1983,220.3699951,54,steel,1,
Seattle Municipal Tower,Seattle,US,1987,1990,220.0700073,57,steel,1,
Fountain Place,Dallas,US,1984,1986,219.4600067,62,steel,1,
Revel Resort and Casino,Atlantic City,US,2007,2012,218.9199982,53,concrete,2,
Figueroa at Wilshire,Los Angeles,US,1986,1989,218.5399933,52,steel,1,
Metropolitan Tower,New York City,US,0,1985,218.2400055,68,concrete,2,
252 East 57th Street,New York City,US,2014,2017,217.9299927,65,concrete,1,
100 East 53rd Street,New York City,US,2008,2017,217.9299927,61,concrete,1,
Republic Plaza,Denver,US,0,1984,217.6300049,56,steel,1,
One Shell Plaza,Houston,US,0,1970,217.6300049,50,concrete,1,
1801 California Plaza,Denver,US,0,1982,216.1100006,52,steel,1,
Revel Entertainment Resort North Tower,Atlantic City,US,2007,0,216,56,concrete,1,
Terminal Tower,Cleveland,US,1923,1928,215.8000031,52,steel,1,
JPMorgan Chase Tower,New York City,US,1957,1960,215.5,52,steel,1,
One Thousand Museum,Miami,US,2015,2017,215.1999969,60,concrete,1,
281 5th Avenue,New York City,US,2016,0,214.8999939,52,concrete,1,
General Motors Building,New York City,US,1964,1968,214.8899994,50,steel,1,
600 Biscayne Bay,Miami,US,0,0,214.6000061,62,concrete,1,
Chase Tower,Indianapolis,US,1987,1990,213.6699982,49,steel,1,
Metropolitan Life Tower,New York City,US,1907,1909,213.3600006,50,steel,1,
City National Tower,Los Angeles,US,0,1971,213.0599976,52,steel,1,
Paul Hastings Tower,Los Angeles,US,0,1971,213.0599976,52,steel,1,
Wells Fargo Center,Denver,US,0,1983,212.75,50,composite,1,
500 Fifth Avenue,New York City,US,1930,1931,212.4499969,59,steel,1,
One Shell Square,New Orleans,US,0,1972,212.4499969,51,composite,1,
AMA Plaza,Chicago,US,1971,1972,211.8399963,52,composite,1,
345 California Center,San Francisco,US,0,1986,211.8399963,48,steel,2,
ICON TAMPA,Tampa,US,0,0,211,72,concrete,3,
Americas Tower,New York City,US,0,1992,210.9199982,48,steel,1,
City Point Tower III,New York City,US,2016,2018,210.8999939,57,concrete,1,
1400 Smith Street,Houston,US,0,1983,210.5200043,50,steel,1,
Solow Building,New York City,US,1968,1974,210,49,steel,1,
HSBC Bank Building,New York City,US,0,1967,209.7100067,52,steel,1,
55 Water Street,New York City,US,0,1972,209.3999939,53,steel,1,
277 Park Avenue,New York City,US,1958,1963,209.3999939,50,steel,1,
The Beekman Hotel & Residences,New York City,US,2014,2016,209.3999939,47,composite,2,
Waldorf Astoria Chicago,Chicago,US,2006,2009,209,60,concrete,2,
Millennium Tower,Boston,US,2014,2016,208.7899933,55,concrete,1,
Three Allen Center,Houston,US,0,1980,208.7899933,50,steel,1,
Random House Tower,New York City,US,2000,2003,208.4900055,52,steel,2,
The Austonian,Austin,US,2007,2010,208.1499939,56,concrete,1,
Four Seasons Hotel,New York City,US,1990,1993,207.8800049,52,concrete,1,
111 South Wacker,Chicago,US,2003,2005,207.6399994,51,composite,1,
181 West Madison,Chicago,US,1988,1990,207.2700043,50,composite,1,
Hyatt Center,Chicago,US,2002,2005,207.1000061,48,composite,1,
Marquis,Miami,US,2005,2009,207,63,concrete,2,
LyondellBassell Tower,Houston,US,0,1978,206.8000031,47,composite,1,
AT&T Building,Atlanta,US,0,1980,206.3500061,47,concrete,1,
Sky,New York City,US,2008,2015,206,61,concrete,1,
McGraw-Hill Building,New York City,US,0,1972,205.4400024,51,steel,1,
Resorts World Las Vegas Tower I,Las Vegas,US,2015,2018,205.3999939,57,concrete,2,
One Magnificent Mile,Chicago,US,0,1983,205.1300049,57,concrete,2,
One Grand Central Place,New York City,US,0,1930,205.1300049,53,steel,1,
Citigroup Building,New York City,US,0,1990,205.1300049,50,steel,1,
Barclay Tower,New York City,US,2005,2007,205.0599976,56,concrete,1,
340 on the Park,Chicago,US,2005,2007,204.8999939,64,concrete,1,
Paramount Plaza,New York City,US,0,1970,204.2200012,48,steel,1,
United Building,Chicago,US,1990,1992,203.6100006,49,composite,1,
33 South 6th Street,Minneapolis,US,1981,1983,203.5800018,52,concrete,1,
BOK Tower,Tulsa,US,0,1975,203.3000031,52,steel,1,
Ritz-Carlton/Marriott Marquis Los Angeles,Los Angeles,US,2007,2010,203.2799988,54,steel,2,
Sovereign,Atlanta,US,2006,2008,202.6900024,48,concrete,2,
Great American Tower at Queen City Square,Cincinnati,US,2008,2011,202.6900024,40,composite,1,
Trump Tower,New York City,US,1980,1982,202.3899994,58,concrete,2,
The Mark,Seattle,US,2014,2017,201.1699982,43,steel,2,
Hearst Tower,Charlotte,US,1999,2002,200.8099976,47,steel/concrete,1,
200 Public Square,Cleveland,US,1982,1985,200.5599976,46,steel,1,
1180 Peachtree,Atlanta,US,2003,2006,200.1600037,41,concrete,1,
Olympic City Towers 1,New York City,US,0,0,200,50,concrete,2,
Olympic City Towers 2,New York City,US,0,0,200,50,concrete,2,
Olympic City Towers 3,New York City,US,0,0,200,50,concrete,2,
Olympic City Towers 4,New York City,US,0,0,200,50,concrete,2,
Olympic City Towers 5,New York City,US,0,0,200,50,concrete,2,
The Nicollet,Minneapolis,US,0,0,199.9499969,56,concrete,1,
Wells Fargo Tower,Miami,US,2007,2010,199.5,47,steel/concrete,1,
One Wall Street,New York City,US,1929,1932,199.3399963,50,steel,1,
Silver Towers East,New York City,US,2007,2009,199.1699982,58,concrete,1,
Silver Towers West,New York City,US,2007,2009,199.1699982,58,concrete,1,
599 Lexington Avenue,New York City,US,0,1986,199.0399933,51,steel,1,
UBS Tower,Chicago,US,1999,2001,198.5800018,50,composite,1,
Echelon Place Main Resort Tower,Las Vegas,US,2007,0,198.1199951,57,concrete,1,
712 5th Avenue,New York City,US,1988,1990,198.1199951,53,steel,1,
900 Biscayne Bay,Miami,US,2005,2008,198,63,concrete,1,
Turnberry Ocean Club,Sunny Isles Beach,US,2016,2018,197.8200073,52,concrete,1,
Muse,Sunny Isles Beach,US,2015,2017,197.8200073,47,concrete,1,
Residences by Armani Casa,Sunny Isles Beach,US,0,0,197.8000031,60,concrete,1,
Elysee,Miami,US,2016,2018,197.8000031,57,concrete,1,
Chanin Building,New York City,US,1927,1929,197.8000031,56,steel,1,
245 Park Avenue,New York City,US,0,1967,197.5099945,47,steel,1,
Richard J. Daley Center,Chicago,US,1963,1965,197.5099945,31,steel,1,
550 Madison Avenue,New York City,US,1980,1983,197.3200073,37,steel,1,
55 East Erie,Chicago,US,2001,2004,197.1499939,56,concrete,1,
28 on 28th,New York City,US,2014,2017,196.8999939,58,concrete,1,
Millennium Tower,San Francisco,US,2004,2009,196.6000061,58,concrete,1,
Two World Financial Center,New York City,US,0,1986,196.6000061,44,steel,1,
Lake Point Tower,Chicago,US,1965,1968,196.4499969,70,concrete,1,
1095 Avenue of the Americas,New York City,US,2006,2007,196.4400024,43,steel,1,
River East Center,Chicago,US,1999,2001,196.2899933,58,concrete,1,
570 Lexington Avenue,New York City,US,1929,1931,196,50,steel,1,
Mansions at Acqualina,Sunny Isles Beach,US,2012,2015,196,46,concrete,1,
201 North Columbus,Chicago,US,2016,0,195.7799988,60,concrete,2,
The Ritz-Carlton Residences,Sunny Isles Beach,US,2016,2018,195.6999969,50,concrete,1,
The Palazzo,Las Vegas,US,2004,2007,195.6799927,53,composite,1,
Grand Plaza Apartments,Chicago,US,2000,2003,195.3800049,57,concrete,1,
Porsche Design Tower,Sunny Isles Beach,US,2013,2016,195.3699951,57,concrete,1,
1 New York Plaza,New York City,US,0,1969,195.0700073,50,steel,1,
Four Seasons Hotel & Private Residences,Denver,US,2007,2010,194.75,45,concrete,2,
155 North Wacker,Chicago,US,2007,2009,194.5700073,45,composite,1,
1 MiMA Tower,New York City,US,2007,2011,194.5500031,63,concrete,2,
Echo Brickell,Miami,US,2015,2017,194.1999969,60,concrete,1,
Jade Signature,Sunny Isles Beach,US,2014,2017,193.8500061,55,concrete,1,
Leo Burnett Building,Chicago,US,1986,1989,193.5500031,46,composite,1,
One PPG Place,Pittsburgh,US,1981,1984,193.5500031,40,steel,1,
One First National Center,Omaha,US,1999,2002,193.25,45,composite,1,
345 Park Avenue,New York City,US,0,1969,193.25,44,steel,1,
BG Group Place,Houston,US,2008,2011,192.7400055,46,concrete,1,
The St. Regis Residences at the Venetian Palazzo,Las Vegas,US,2007,0,192.6399994,43,steel,1,
Mercantile Building,New York City,US,1929,1929,192.6000061,48,steel,1,
Langham Place,New York City,US,2007,2010,192.5800018,59,concrete,2,
The Heritage at Millennium Park,Chicago,US,2002,2005,192.3800049,57,concrete,1,
The Edge on Brickell,Miami,US,0,0,192.3300018,58,concrete,1,
Encore,Las Vegas,US,2006,2008,192.3300018,52,concrete,1,
Mint at Riverfront,Miami,US,2006,2009,192.2799988,55,concrete,1,
W New York Downtown Hotel & Residences,New York City,US,2006,2010,192.1100006,57,concrete,2,
Miami River,Miami,US,0,0,192.0299988,57,concrete,1,
Grace Plaza,New York City,US,0,1972,192.0299988,50,steel,1,
Safeco Plaza,Seattle,US,1966,1969,192.0299988,50,steel,1,
Home Insurance Plaza,New York City,US,1964,1966,192.0299988,44,steel,1,
Infinity at Brickell,Miami,US,2005,2008,192,52,concrete,2,
101 Park Avenue,New York City,US,1979,1982,191.7200012,49,concrete,1,
Elm Place,Dallas,US,0,1965,191.4199982,52,steel,1,
888 7th Avenue,New York City,US,0,1971,191.4199982,45,steel,1,
1345 Avenue of the Americas,New York City,US,0,1969,190.5,50,steel,1,
Citigroup Center,Los Angeles,US,0,1979,190.5,48,steel,1,
Miami Tower,Miami,US,1980,1987,190.5,47,concrete,1,
Waldorf Astoria New York,New York City,US,1930,1931,190.5,47,steel,1,
353 North Clark,Chicago,US,2006,2009,189.9900055,44,composite,1,
Trump Palace,New York City,US,0,1991,189.8899994,54,concrete,1,
One Kansas City Place,Kansas City,US,1985,1988,189.8899994,42,concrete,1,
Trump International Hotel & Tower 1,Las Vegas,US,2005,2008,189.5899963,64,concrete,2,
Tower of the Americas,San Antonio,US,1967,1968,189.5899963,0,concrete,1,
One Madison Park,New York City,US,2006,2010,189.2799988,50,concrete,1,
Olympic Tower,New York City,US,1974,1976,189,51,concrete/steel,2,
611 Place,Los Angeles,US,0,1967,189,42,steel,1,
425 5th Avenue,New York City,US,2001,2003,188.3399963,55,concrete,1,
1144 Fifteenth,Denver,US,2015,2018,188,40,steel/concrete,2,
New York Life Building,New York City,US,1926,1928,187.5,33,steel,1,
Marina Blue,Miami,US,2004,2007,187.4499969,57,concrete,1,
The Epic,New York City,US,2005,2007,187.4100037,58,concrete,1,
Tower 49&reg;,New York City,US,0,1985,187.3999939,44,steel/concrete,1,
Eventi,New York City,US,2007,2010,187.1499939,46,concrete,2,
Wynn Las Vegas,Las Vegas,US,2002,2005,187.1499939,45,concrete,2,
OneEleven,Chicago,US,2013,2014,186.7700043,58,concrete,1,
Singer Building,New York City,US,1906,1908,186.5700073,47,steel,1,
Plaza on Brickell Tower I,Miami,US,2005,2007,185.9299927,56,concrete,1,
Millennium Centre,Chicago,US,2001,2003,185.9100037,58,concrete,1,
Credit Lyonnais Building,New York City,US,0,1964,185.6300049,46,steel,1,
Chicago Place,Chicago,US,0,1991,185.3200073,49,concrete,2,
The Hub,New York City,US,2014,2017,185,53,concrete,1,
City Centre,Seattle,US,1987,1989,184.8200073,44,steel,1,
KPMG Tower,Los Angeles,US,1981,1984,184.8000031,45,steel,1,
ExxonMobil Building,Houston,US,0,1963,184.7100067,44,steel,1,
Baccarat Hotel & Residences,New York City,US,2012,2015,184.5099945,46,concrete,2,
One Rincon Hill South Tower,San Francisco,US,2006,2008,184.4100037,54,concrete,1,
Chicago Board of Trade,Chicago,US,1929,1930,184.4100037,44,steel,1,
Space Needle,Seattle,US,1961,1962,184.4100037,0,steel,1,
The Orion,New York City,US,2004,2006,184.1000061,60,concrete,1,
George Washington Bridge,New York City,US,1927,1931,184,0,steel,1,
Cosmopolitan Casino Spa Tower,Las Vegas,US,2006,2010,183.9499969,52,concrete/steel,1,
Cosmopolitan Casino Beach Club Tower,Las Vegas,US,2006,2010,183.9499969,50,concrete/steel,1,
590 Madison Avenue,New York City,US,0,1983,183.8000031,41,steel,1,
Gables Republic Tower,Dallas,US,0,1954,183.5,36,steel,1,
250 West 55th Street,New York City,US,2008,2013,183.4299927,40,steel,1,
210 Trade,Charlotte,US,2006,0,183.2599945,53,concrete,1,
Epic Residences & Hotel,Miami,US,2005,2009,183.1999969,54,concrete,2,
One Paraiso,Miami,US,2014,2017,183.1999969,53,concrete,1,
CNA Plaza,Chicago,US,1970,1972,183.1900024,44,steel,1,
U.S. Bank Center,Milwaukee,US,0,1973,183.1900024,42,steel,1,
BNY Mellon Center at One Boston Place,Boston,US,0,1970,183.1900024,41,steel,1,
One Prudential Plaza,Chicago,US,1952,1955,183.1900024,41,steel,1,
Eleven Times Square,New York City,US,2007,2011,183.1000061,40,composite,1,
101 California Street,San Francisco,US,1979,1982,183,48,steel,1,
50 Fremont Center,San Francisco,US,1983,1985,183,43,steel,1,
1166 Avenue of the Americas,New York City,US,0,1974,182.9100037,44,steel,1,
Aria Resort & Casino,Las Vegas,US,2006,2009,182.8800049,60,concrete,2,
One International Place,Boston,US,0,1987,182.8800049,46,steel,1,
1500 Louisiana Street,Houston,US,1999,2002,182.8800049,40,steel,1,
Heller International Tower,Chicago,US,1990,1992,182.8600006,45,concrete,1,
SLS Brickell,Miami,US,2014,2016,182.5800018,52,concrete,2,
Madison Plaza,Chicago,US,1981,1982,182.4600067,44,steel,1,
River Line Building A,Chicago,US,0,0,182.2700043,51,concrete,1,
Republic Center Tower II,Dallas,US,0,1964,182.2700043,50,steel,1,
Hawthorn Park,New York City,US,2012,2014,182.25,54,concrete,1,
Russell Investments Center,Seattle,US,2004,2006,182.1799927,42,steel,2,
Planet Hollywood Towers,Las Vegas,US,2007,2009,182,50,concrete,2,
Hearst Tower,New York City,US,2003,2006,181.9700012,46,steel,1,
Avalon Willoughby West,New York City,US,2013,2015,181.6600037,57,concrete,1,
SLS Lux Brickell,Miami,US,2014,2016,181.3999939,57,concrete,1,
The Grant,Chicago,US,2008,2010,181.3000031,54,concrete,1,
One Metropolitan Square,St. Louis,US,0,1988,180.75,42,composite,1,
Celanese Building,New York City,US,0,1973,180.4400024,45,steel,1,
1000 Lake Shore Plaza,Chicago,US,0,1964,179.8300018,55,concrete,1,
388 Bridge Street,New York City,US,2012,2014,179.8300018,51,concrete,1,
One Financial Center,Boston,US,0,1984,179.8300018,46,steel,1,
Thurgood Marshall U.S. Court House,New York City,US,1932,1936,179.8300018,37,steel,1,
The Clare at Water Tower,Chicago,US,2006,2009,179.4799957,53,concrete,1,
Sky House,New York City,US,2005,2008,179.3300018,54,concrete,1,
The Millenium Hilton,New York City,US,1988,1992,179.2299957,58,concrete,1,
One Wells Fargo Center,Charlotte,US,1986,1988,179.2299957,42,steel,1,
Time-Life Building,New York City,US,0,1959,178.9199982,48,steel,1,
Jacob K. Javits Federal Building,New York City,US,1963,1967,178.9199982,41,steel,1,
Optima Chicago Center II,Chicago,US,2014,2018,178.8999939,57,concrete,2,
Icon Brickell North Tower,Miami,US,2006,2008,178.6199951,58,concrete,1,
Icon Brickell South Tower,Miami,US,0,2008,178.6199951,58,concrete,1,
Ten Museum Park,Miami,US,2004,2007,178.3099976,50,concrete,1,
Solis Resort Spa Residences,Sunny Isles Beach,US,2007,0,178,53,concrete,2,
W Times Square,New York City,US,0,2002,177.8500061,53,concrete,1,
Mid Continental Plaza,Chicago,US,0,2013,177.6199951,49,concrete,2,
Trump International Hotel & Tower,New York City,US,1968,1970,177.6199951,44,steel,2,
Gulf Tower,Pittsburgh,US,1930,1932,177.3999939,44,steel,1,
Crain Communications Building,Chicago,US,1982,1983,177.3999939,41,concrete,1,
Campbell Mithun Tower,Minneapolis,US,1983,1985,177.2400055,42,steel/concrete,1,
360 Condominiums,Austin,US,2006,2008,177.1000061,45,concrete,1,
North Pier Apartments,Chicago,US,0,1990,177.0899963,61,concrete,1,
Citadel Center,Chicago,US,2000,2003,176.8399963,39,steel,1,
Stevens Tower,New York City,US,0,1971,176.7899933,42,steel,1,
The Mansion on Peachtree,Atlanta,US,2006,2008,176.7899933,42,concrete,1,
One AT&T Plaza,Dallas,US,1981,1984,176.7899933,37,steel,1,
